src_acsn,acsn
meanfiringrate_auc,CCTE_Shafer_MEA_dev_firing_rate_mean
burst.per.min_auc,CCTE_Shafer_MEA_dev_burst_rate
mean.isis_auc,CCTE_Shafer_MEA_dev_per_burst_interspike_interval
per.spikes.in.burst_auc,CCTE_Shafer_MEA_dev_per_burst_spike_percent
mean.dur_auc,CCTE_Shafer_MEA_dev_burst_duration_mean
mean.IBIs_auc,CCTE_Shafer_MEA_dev_interburst_interval_mean
nAE_auc,CCTE_Shafer_MEA_dev_active_electrodes_number
nABE_auc,CCTE_Shafer_MEA_dev_bursting_electrodes_number
ns.n_auc,CCTE_Shafer_MEA_dev_network_spike_number
ns.peak.m_auc,CCTE_Shafer_MEA_dev_network_spike_peak
ns.durn.m_auc,CCTE_Shafer_MEA_dev_spike_duration_mean
ns.percent.of.spikes.in.ns_auc,CCTE_Shafer_MEA_dev_per_network_spike_spike_percent
ns.mean.insis_auc,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean
ns.durn.sd_auc,CCTE_Shafer_MEA_dev_network_spike_duration_std
ns.mean.spikes.in.ns_auc,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean
r_auc,CCTE_Shafer_MEA_dev_correlation_coefficient_mean
mi_auc,CCTE_Shafer_MEA_dev_mutual_information_norm
meanfiringrate_DIV5,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV5
burst.per.min_DIV5,CCTE_Shafer_MEA_dev_burst_rate_DIV5
mean.isis_DIV5,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV5
per.spikes.in.burst_DIV5,CCTE_Shafer_MEA_dev_per_burst_spike_percent_DIV5
mean.dur_DIV5,CCTE_Shafer_MEA_dev_burst_duration_mean_DIV5
mean.IBIs_DIV5,CCTE_Shafer_MEA_dev_interburst_interval_mean_DIV5
nAE_DIV5,CCTE_Shafer_MEA_dev_active_electrodes_number_DIV5
nABE_DIV5,CCTE_Shafer_MEA_dev_bursting_electrodes_number_DIV5
ns.n_DIV5,CCTE_Shafer_MEA_dev_network_spike_number_DIV5
ns.peak.m_DIV5,CCTE_Shafer_MEA_dev_network_spike_peak_DIV5
ns.durn.m_DIV5,CCTE_Shafer_MEA_dev_spike_duration_mean_DIV5
ns.percent.of.spikes.in.ns_DIV5,CCTE_Shafer_MEA_dev_per_network_spike_spike_percent_DIV5
ns.mean.insis_DIV5,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_DIV5
ns.durn.sd_DIV5,CCTE_Shafer_MEA_dev_network_spike_duration_std_DIV5
ns.mean.spikes.in.ns_DIV5,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV5
